OBJECTID,GEOID,GEOG,2000_POP,2010_POP,2020_POP,2020_HH,2020_HH_SIZE,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,pct_pop_access_4_acres_per_1k,pct_pop_access_10_acres_per_1k,impervious_acres_per_hh,modhigh_ta_pop_pct,modhigh_ta_emp_pct,nonsov_pct
24,68,Englewood,40222,30654,24369,9597,2.520891945,22019,2241,4409,4220,3139,4605,1829,1000,576,35.76229508,255,866,20278,131,489,21828,16600,8433,6329,2104,8167,6033,378,5655,2878,382,2102,161,132,213965,4454,3288,1065,359,14033,3322,4964,3579,907,961,300,5042,2267,1016,374,352,115,22228.26087,15034.36201,9166,2195,6971,4474,13640,3381,317,4157,2130,943,325,2318,69,5.659138187,1304,2577,4086,5673,1948.11174,2578,4570,4472,1417,603,1467,586,98,44,102445.6522,6579,1448,2971,1680,461,19,873.4398782,7183,2202,1983,6360,5876,2806,7448,Health Care,Administration,Retail Trade,Accommodation and Food Service,Transportation,1454,959,803,782,684,1518,Health Care,Retail Trade,Other Service,Education,Accommodation and Food Service,883,195,127,108,91,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,3045,1183,552,361,97,Outside of Chicago,Englewood,Auburn Gresham,Greater Grand Crossing,South Shore,553,83,57,53,49,,,,7286.512421,,,,,,,,,,0,0,1,0,0,1,2.349709608,1966.306763,232.1859667,0.11808227,300.9116828,0.153033946,12.81566924,0.006517635,38.35543102,0.019506331,170.7046609,0.086814867,13.49783213,0.006864561,711.6366783,0.36191539,0,0,43.92976038,0.022341255,442.2690817,0.224923745,4224,2228,1134,1580,4601,1788,4565,3424,147,370,2907,3022,448,869,1705,979,501,228,250,813,661,120,32,21304,715,19778,1173,573,18605,780,6,6,58,0,0,14,78,231,178,347,39352,27,318,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.154492981,0.629388164,0.081601816,0,0.130927578,1,1,0.501077408
25,12,Forest Glen,18165,18508,19596,7021,2.785215781,19928,1357,3854,2596,4603,3977,1959,1001,581,42.42987606,14719,2627,111,2038,433,19893,15335,10133,9637,496,5202,9485,928,8557,6006,1050,1267,190,44,299880,318,2311,3172,1281,14113,756,2128,2072,825,4553,3779,687,866,692,721,1092,3024,129516.6403,59038.73344,7082,6499,583,171,7253,6308,349,323,104,107,9,53,0,7.535924233,259,542,4498,1954,1950.630038,176,1693,3393,1589,402,149,651,3029,2613,463417.5692,534,0,102,209,110,113,1250,6697,188,385,6605,6327,477,8946,Education,Health Care,Professional,Public Administration,Retail Trade,1161,1132,952,815,703,4093,Health Care,Retail Trade,Professional,Construction,Education,1299,507,447,299,234,Outside of Chicago,The Loop,Near North Side,Near West Side,Forest Glen,3455,2348,604,490,241,Outside of Chicago,Forest Glen,Portage Park,West Ridge,Jefferson Park,2370,241,94,93,88,,,,16459.52238,,,,,,,,,,0,0,1,0,0.075104257,0.924895743,2.266355005,2046.163796,822.4597849,0.401952076,33.01520568,0.016135172,6.030397055,0.002947172,47.18336107,0.023059425,42.5330827,0.020786744,10.39096105,0.005078265,606.4512136,0.29638449,0,0,471.4327203,0.230398329,6.667069333,0.003258326,1577,2166,1108,2231,5425,213,1657,399,0,0,399,1043,121,166,756,686,111,252,323,4837,3358,1071,408,16209,3719,18571,5431,2010,13140,1709,922,148,208,51,142,785,1321,145,14793,1389,71,1586,326,,,,,,,,,,,,,,,,,,,,,,,,,0.902734051,0.979762068,0.648834408,0.839924839,0,0,0.122040211,1,1,0.362150764
26,37,Fuller Park,3420,2876,2567,1140,2.246491228,2232.313253,84.46987952,430.313253,338.5180723,295.373494,451.2168675,492.6626506,112.0361446,27.72289157,47.44558016,112.1807229,145.6024096,1933.13253,10.39759036,31,2210.097252,1864.078916,773.7915194,589.0895171,184.7020024,1090.287397,510.548881,22.56183746,487.9870436,257.7714959,58.98586572,160.6266196,10.00235571,0.600706714,17989.75854,700.7779238,292.6603154,131.9500657,32.217477,1537.481928,354.0481928,571.8433735,307.4457831,130.9036145,120.7108434,52.53012048,789.7167019,219.6997886,83.01268499,13.06976744,50.06976744,6.923890063,17216.78622,14738.4235,1162.4926,247.8801498,912.2883895,414.2684989,1574.337079,239.9101124,89.4082397,512.2247191,147.8202247,25.97378277,10,540,9,4.860537638,77.52059925,291.3857678,595.4569288,609.9737828,1955.366854,577.1910112,343.6666667,499.6629213,94.28089888,59.53558052,117.8012685,124.1226216,6.972515856,0,168463.7068,907.5961945,389.3298097,310.2452431,159.0211416,38,11,561.3246104,805.0570825,217.0169133,357.435518,771.0570825,681.0570825,391.435518,890,Health Care,Administration,Accommodation and Food Service,Transportation,Retail Trade,172,97,90,77,77,1091,Manufacturing,Wholesale Trade,Health Care,Accommodation and Food Service,Retail Trade,410,292,169,123,81,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,297,163,79,61,20,Outside of Chicago,Gage Park,Roseland,South Shore,Auburn Gresham,494,27,27,25,22,,,,7902.463211,,,,,,,,,,0,0,1,0,0,1,3.320594271,457.224631,27.51170646,0.060171094,27.12763078,0.059331079,1.302691371,0.002849128,17.54563731,0.038374217,20.66006809,0.045185816,35.78663692,0.078269267,262.815352,0.574805761,0,0,11.25368274,0.024613028,53.22122534,0.116400609,664.1966173,266.1479915,98.43551797,133.7124736,444.2959831,111.0824524,718.1966173,604.4802891,42,203,359.4802891,352.2851511,45.75558476,67.41261498,239.1169514,83.79434954,34.52562418,11.79040736,37.478318,69.10972405,46.021682,22.5131406,0.574901445,2123.267373,108.9305065,2144.050648,131.0859835,58.45111896,2012.964664,113.0212014,0.200235571,4.844522968,0,0,0,0,13,0.020023557,18,116,3225,6,55,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.19255084,0.622112689,0.394137263,0,0.320794524,1,1,0.493932487
27,63,Gage Park,39193,39894,39540,10353,3.816091954,35300,2903,8182,9522,6185,4914,2283,976,335,29.28865696,1260,32113,1649,250,28,35247,26457,16179,13550,2620,10278,13034,218,12816,7224,2195,2725,583,89,446915,1968,3239,2889,1679,20773,6774,8337,2852,1027,1562,221,2764,2921,1658,852,1064,516,42271.4808,16154.70878,9775,5249,4526,962,10737,5063,148,2846,1730,233,109,447,161,5.605967742,157,907,4715,4958,1942.599747,1429,3571,3689,1182,866,2025,3036,116,72,164809.7826,4497,681,2460,1016,340,0,842.7777778,8159,1136,1616,7906,7467,1869,12116,Manufacturing,Accommodation and Food Service,Administration,Retail Trade,Health Care,1811,1447,1367,1329,1280,4099,Administration,Wholesale Trade,Accommodation and Food Service,Retail Trade,Other Service,1121,899,445,418,286,Outside of Chicago,The Loop,Near West Side,Near North Side,Gage Park,5347,1281,691,671,335,Outside of Chicago,Gage Park,Chicago Lawn,South Lawndale,New City,1698,335,172,108,102,,,,15177.46776,,,,,,,,,,0,0,1,0,0.023014156,0.976985844,0.858678154,1406.907611,407.2239339,0.289446109,155.9781343,0.11086594,18.35725164,0.013047944,61.97655539,0.044051617,97.3611121,0.069202207,134.1640228,0.095360933,482.1345796,0.342691003,0,0,25.59946527,0.018195555,24.11255571,0.017138692,2094,1773,1590,4318,7333,1274,2442,1572,167,121,1284,3951,699,934,2318,1658,603,510,545,2432,2019,307,106,22715,12585,32397,27012,11393,5385,26724,73,73,61,0,0,0,80,1,4811,31079,2743,161,399,,,,,,,,,,,,,,,,,,,,,,,,,0.999693228,0.807699638,0.135271747,0.732602687,0,0,0.100399809,1,1,0.438928955
28,56,Garfield Ridge,36101,34513,35439,12236,2.872589081,36049,2076,7057,6285,7573,7694,3206,1463,695,39.74945335,14728,19029,1671,358,263,35774,28412,18620,17187,1433,9792,16825,752,16073,12219,1661,1749,351,93,552810,1008,4106,5058,2168,25251,4371,8286,4875,2100,3694,1925,1783,1960,2075,1758,2476,2288,80005.68828,32787.64454,12340,10475,1865,524,12864,11007,168,598,476,168,238,176,33,6.146417445,363,1938,8920,1643,1956.510824,542,2695,6683,2193,751,935,7758,1616,133,230970.7759,1503,60,607,630,179,27,1060.878963,10939,1074,1401,10303,10045,2037,15518,Education,Health Care,Public Administration,Manufacturing,Retail Trade,1835,1632,1613,1464,1397,14722,Transportation,Administration,Accommodation and Food Service,Retail Trade,Manufacturing,6083,2264,2087,1284,636,Outside of Chicago,The Loop,Near West Side,Near North Side,Garfield Ridge,6714,3589,826,752,645,Outside of Chicago,Garfield Ridge,Clearing,Chicago Lawn,West Lawn,8237,645,303,243,224,,,,16655.8203,,,,,,,,,,0,0.007037704,0.992962296,0.03487013,0.000108225,0.965021645,1.765647927,2706.39985,1031.836416,0.381257934,96.18367575,0.035539344,15.51559989,0.00573293,99.58309443,0.036795411,55.41493653,0.020475517,114.2368669,0.0422099,1208.573329,0.446561261,0,0,44.18728697,0.016326962,40.86864419,0.015100741,2968,3775,1843,3754,8902,717,3438,1142,7,72,1063,2419,730,520,1169,1955,871,426,658,6427,4668,1455,304,28003,8046,33973,16422,6230,17551,12675,2930,228,22,103,0,0,464,0,24878,5948,4419,328,528,,,,,,,,,,,,,,,,,,,,,,,,,0.999233629,0.855137205,0.305690864,0.803220119,0.124895301,0,0.157238795,0.996318674,0.977557075,0.268231798
29,38,Grand Boulevard,28006,21929,24589,11278,2.160666785,23669,1591,4042,5446,4431,4745,1887,998,529,37.49339934,976,771,21200,172,550,23384,19169,12088,10405,1645,7081,9964,1023,8941,4771,646,2924,382,218,314810,3924,4995,1702,584,16608,2012,3431,3546,1655,3648,2316,4201,2259,1364,1414,1149,818,39110.73826,29807.9199,11205,3068,8137,1375,12580,1223,781,852,2814,3072,872,2966,0,4.910731244,3544,2881,2228,3927,1971.175958,3389,3584,4011,1272,324,525,1373,757,413,238617.0213,7993,2250,2030,2390,1240,83,943.4131737,9511,1805,1694,9027,8578,2178,8549,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,1684,1038,886,761,677,2788,Health Care,Management,Retail Trade,Accommodation and Food Service,Education,1003,489,346,252,150,The Loop,Outside of Chicago,Near North Side,Near West Side,Hyde Park,2235,2076,859,695,275,Outside of Chicago,Grand Boulevard,South Shore,Auburn Gresham,Chatham,810,158,96,90,83,,,,9082.341974,,,,,,,,,,0,0,1,0,0,1,4.097221126,1113.23469,64.55137846,0.057985418,254.9599022,0.229026192,10.17611906,0.009141037,40.43566031,0.036322674,108.5304141,0.097491046,8.173339236,0.007341973,378.1762474,0.339709363,1.821292449,0.001636036,36.21988472,0.032535713,210.190452,0.188810548,5522,2847,1533,1303,5024,1634,6181,3256,131,622,2503,2894,542,350,2002,1350,287,569,494,3366,2033,1086,247,22952,717,22078,1541,391,20537,946,77,33,21,37,0,0,231,196,173,236,27370,21,206,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.458754817,0.771235125,0.570168036,0,0.06947003,1,1,0.499297471
30,69,Greater Grand Crossing,38619,32602,31471,12756,2.427328316,29429,1848,5971,6540,4452,6017,2508,1248,845,36.12857143,257,590,28131,29,422,28886,23195,13296,10670,2626,9899,10292,631,9661,5142,692,3561,83,183,377075,4841,5465,1278,676,19846,2688,5775,6069,1498,2363,1453,5445,2995,1568,1012,771,469,30109.64912,19735.39876,12260,4067,8193,3275,15535,4443,392,3972,2217,2643,621,1224,23,5.635458167,557,1904,4724,8350,1936.511976,2790,5978,4455,1644,668,1728,1993,218,103,159779.7063,7804,1180,3747,2214,663,0,908.9698046,10529,2934,1731,9096,8565,3164,9512,Health Care,Administration,Accommodation and Food Service,Education,Retail Trade,2021,1170,943,838,812,3050,Health Care,Education,Retail Trade,Wholesale Trade,Other Service,743,505,317,303,266,Outside of Chicago,The Loop,Near North Side,Near West Side,Hyde Park,3061,1885,826,578,213,Outside of Chicago,Greater Grand Crossing,South Shore,Auburn Gresham,Chatham,1060,150,124,122,121,,,,10047.689,,,,,,,,,,0,0,1,0,0,1,1.337122793,2269.356472,373.2792514,0.16448683,326.0998039,0.143697038,21.07195608,0.009285432,81.49815981,0.035912454,255.8650654,0.112747851,41.4726462,0.018275069,991.9700805,0.437115144,0,0,35.50339468,0.015644697,142.5961142,0.062835485,4824,3760,2027,1649,6773,2900,5487,3477,65,261,3151,3942,516,875,2551,1546,592,565,389,2239,1943,286,10,29046,383,27581,781,343,26800,360,19,0,0,36,1,0,202,163,146,276,37779,26,392,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.267761766,0.721147628,0,0,0.12130167,1,1,0.482607851
31,55,Hegewisch,9781,9426,10027,3677,2.726679358,9250.205343,386.8929593,1909.380214,1758.4574,1562.121586,2060.727887,775.9436688,603.9175449,192.7640828,39.64860189,3398.034109,5202.552663,631.5985612,1.020010237,17,9189.100461,7519.50851,4229.932132,3811.547222,418.3849105,3289.576378,3630.295722,146.8507789,3483.444943,2683.812044,489.4229947,243.2229947,36.60471983,30.38219019,112227.3729,412.2307724,1138.459343,1533.16003,432.7583745,6252.160156,1129.306506,2158.677172,1563.155888,383.3125004,574.6836153,443.0244746,1072.666328,496.0382226,730.8153137,389.5515375,522.4248462,304.3233087,57846.64934,27694.54333,3515.819557,2654.196311,861.3564384,498.1771218,4013.723567,2864.375699,52.77934491,402.2401046,449.2857143,50,9,66,120.0427046,5.908183838,214.0569395,460.3666642,1855.725005,1483.574958,1953.301184,468,794.073847,1889.022355,714.5134868,148.113879,1178.37051,1314.000338,144,18.05166052,154663.0159,655.3380074,26,281.4392681,327.5508918,20.34784748,0,1029.341184,3156.966759,353.150861,358.8527983,3004.642036,2954.642036,511.1775215,3719,Education,Manufacturing,Health Care,Retail Trade,Public Administration,457,418,393,384,346,1663,Manufacturing,Retail Trade,Wholesale Trade,Accommodation and Food Service,Finance,780,223,171,130,88,Outside of Chicago,The Loop,Near North Side,Near West Side,Hegewisch,1614,846,151,144,118,Outside of Chicago,Hegewisch,East Side,South Deering,South Chicago,1081,118,117,28,22,,,,18224.14581,,,,,,,,,,0.061247011,0.385598676,0.553154313,0.221751542,0.778248458,0,2.963929431,3350.912509,373.9184148,0.111587042,33.86796779,0.010107088,6.741397567,0.002011809,48.22357911,0.014391178,17.41745745,0.005197825,301.3527294,0.089931542,1562.182502,0.466196147,0,0,587.6569456,0.175372214,419.5515151,0.125205153,1210.656796,1024.8877,297.997048,982.2780135,2226.956119,300.0896986,1288.863438,662.7610354,8.110701107,58.0754543,596.5748799,619.2315968,228.6926441,164.4376389,226.1013138,731.0949898,422.2554076,270.5454718,38.29411033,1217.311163,1013.991054,132.2989588,71.02115003,7754.297117,1504.153592,8871.316531,4035.30923,1205.499628,4836.007301,3604.109393,96.88463148,0,0,260,0,0.117647059,74.19755871,0,6553,2820,130,32,246,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.224013603,0.731050218,0.23292379,0,0.330919242,0.586291167,0.428320912,0.252348998
32,20,Hermosa,26908,25010,24062,7544,3.183589608,23163,1339,4512,5617,4887,4047,1716,732,313,35.34880148,2291,19116,1046,534,176,23121,18733,12769,12010,759,5964,11761,484,11277,7395,1316,2016,432,118,400395,866,2591,2471,1250,15335,4630,4360,2537,816,2214,778,1331,1995,1353,826,968,705,54773.13975,24226.59958,7178,3634,3544,675,7853,2255,107,2401,1964,691,357,63,15,5.703014602,116,558,1763,5416,1926.249077,1500,3001,2089,773,490,487,1872,1156,108,266534.2298,3390,61,1584,1537,193,15,1010.831889,6479,717,699,6167,5804,1011,8268,Manufacturing,Health Care,Accommodation and Food Service,Retail Trade,Administration,1060,1050,978,963,735,3916,Manufacturing,Construction,Retail Trade,Accommodation and Food Service,Wholesale Trade,2414,418,175,174,151,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,3241,985,573,412,296,Outside of Chicago,Belmont Cragin,Hermosa,Austin,Logan Square,1812,257,204,120,114,,,,13085.14868,,,,,,,,,,0,0,1,0,0,1,0.704651419,748.4402992,166.551737,0.22253176,145.8277409,0.194842182,15.25334607,0.020380177,26.62628711,0.035575699,19.07340303,0.025484201,110.7375564,0.147957768,245.5506909,0.328083203,0,0,15.52678082,0.020745517,3.292757041,0.004399492,1473,1955,984,2766,5165,719,2013,828,0,1,827,2218,207,427,1584,1327,522,341,464,2496,1912,474,110,14481,8682,21824,16876,8080,4948,16136,249,6,261,79,0,46,82,17,3086,22574,649,319,280,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.248320835,0.820218542,0,0,0.075824075,1,1,0.361193776
33,23,Humboldt Park,65836,56323,54165,19072,2.821623322,54401,3610,12540,13199,10862,9094,3068,1405,623,32.66518148,4907,30160,17999,288,1047,54014,41325,27086,24125,2961,14239,23629,1187,22442,13284,2493,5131,1163,371,811850,4135,7989,3978,1665,34269,8524,10007,7090,2330,3882,2436,5494,5009,2729,1487,1989,1059,41535.65292,20336.54578,17767,6673,11094,2164,19931,4177,212,6758,4891,2006,954,908,25,5.595621683,939,2538,4329,12125,1931.094845,3029,7594,6598,1514,1196,1627,3517,1094,431,208806.8182,10647,807,3676,4580,1417,167,1071.519741,15722,2654,2045,14401,13396,3366,18825,Health Care,Accommodation and Food Service,Retail Trade,Administration,Manufacturing,2781,2226,2111,2067,1743,9046,Manufacturing,Health Care,Retail Trade,Administration,Wholesale Trade,1766,1161,970,932,670,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,7465,2378,1585,1117,1009,Outside of Chicago,Humboldt Park,Austin,West Town,Belmont Cragin,3621,447,356,271,253,,,,10413.44792,,,,,,,,,,0,0,1,0,0.009487751,0.990512249,1.973488936,2306.723522,281.0195323,0.121826274,422.7834088,0.183283087,38.04551573,0.016493314,136.7352964,0.059276847,114.8417219,0.049785647,321.4993946,0.139374915,826.2438857,0.358189388,0,0,18.49528567,0.00801799,147.0594804,0.063752539,4474,4878,3074,5341,11813,3161,5954,3613,72,107,3434,6279,656,1323,4300,2653,992,885,776,4479,3311,1002,166,44301,10100,50791,24255,9288,26536,23416,320,0,74,24,24,107,186,104,2184,31607,31207,239,599,,,,,,,,,,,,,,,,,,,,,,,,,0.99980292,0.943404797,0.252356357,0.771527673,0.210191415,0,0.094119742,1,1,0.422108426
34,41,Hyde Park,29920,25681,29456,14818,1.792077203,27722,809,4026,11128,3761,3705,2458,1187,648,30.51812367,13019,2083,6773,3946,1901,25192,24997,15568,14544,1002,9429,14163,2096,12067,3216,482,3737,4491,141,326490,5666,6418,1475,117,17930,708,828,2024,509,4748,9113,4014,2605,1702,1357,1778,2220,52422.56637,48606.06637,13676,4761,8915,1356,15032,789,1416,133,868,2691,1096,8029,10,4.723359799,531,2894,3704,7903,1937.551563,6293,3756,2890,1465,628,869,1354,1419,1052,313948.2565,8849,421,2493,3137,2215,583,1237.5,13047,815,629,12755,12090,921,11543,Education,Health Care,Accommodation and Food Service,Professional,Administration,2815,2143,894,867,837,26071,Education,Health Care,Accommodation and Food Service,Retail Trade,Real Estate,12793,9976,1050,812,385,Hyde Park,Outside of Chicago,The Loop,Near North Side,Near West Side,3091,3052,2025,781,672,Outside of Chicago,Hyde Park,Kenwood,Near South Side,Lake View,10079,3091,852,737,674,,,,7210.298045,,,,,,,,,,0,0,1,0,0,1,14.23132451,1032.261861,98.2231015,0.09515328,173.875285,0.168441063,6.104485456,0.005913699,30.33008595,0.029382163,183.5538373,0.177817126,0,0,246.9578489,0.239239536,0,0,286.0307824,0.277091301,7.186434713,0.006961833,7373,3629,1558,1116,4220,527,9456,2265,76,66,2123,3288,131,526,2631,1702,435,783,484,5338,3735,1255,348,22553,5169,26913,6954,2149,19959,1585,375,1557,22,92,282,643,2137,261,13020,1230,11290,3366,1014,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.801450084,0.732601915,1,0.831632514,0.043310675,1,1,0.762973946
35,16,Irving Park,58643,53359,51940,21342,2.417861494,53604,3735,8438,13439,13246,9193,3457,1679,417,36.20763142,23585,22062,1466,4602,1889,53157,43444,32457,30525,1912,10987,30174,3681,26493,15555,2132,7301,1178,327,964240,2861,9417,6857,1781,38537,5235,7811,6423,2265,10601,6202,2687,4221,3983,2780,3305,3940,72045.04095,38887.99043,20916,10653,10263,1966,22882,6251,870,4968,3585,3666,1750,1741,51,5.568837059,1703,2012,4489,14678,1928.973293,4419,9335,5570,2273,1285,807,3266,3492,3049,359700.0484,9972,406,2674,4772,1977,143,1170.727338,19855,1741,1061,18798,18276,2118,23181,Health Care,Professional,Accommodation and Food Service,Retail Trade,Education,2905,2369,2308,2112,2036,10716,Wholesale Trade,Health Care,Retail Trade,Arts and Entertainment,Accommodation and Food Service,1781,1771,1135,997,948,Outside of Chicago,The Loop,Near North Side,Near West Side,Irving Park,8353,4310,2138,1415,714,Outside of Chicago,Irving Park,Belmont Cragin,Austin,Portage Park,4364,714,390,354,343,,,,12749.05106,,,,,,,,,,0,0,1,0,0,1,1.255109414,2057.194253,516.2064438,0.250927419,403.7078639,0.196241975,47.47435967,0.023077237,102.862972,0.050001584,72.97631344,0.035473711,67.10794937,0.032621105,742.7564039,0.36105312,0,0,94.31377774,0.04584583,9.788169414,0.004758019,6124,6694,3611,4487,12590,1424,8326,1639,0,78,1561,4899,247,1026,3626,3934,785,1954,1195,9953,6376,2607,970,39475,14129,49869,22912,9282,26957,15934,1567,138,1477,647,171,772,1992,214,25912,25401,1121,4362,1847,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.494797208,0.855120129,0,0,0.067236085,1,1,0.473652814
36,11,Jefferson Park,25859,25448,26216,10585,2.475578649,27194,1466,4815,6072,5803,5026,2320,1199,493,38.27886136,15831,6626,714,3151,872,27168,22006,15235,14567,668,6771,13876,934,12942,8804,1028,2748,256,106,451515,1143,4220,3863,1295,19774,1460,4854,4002,1454,5342,2662,1416,1821,1883,1598,2147,1656,77198.06008,35584.0146,10521,6908,3613,925,11446,5442,114,2268,1871,890,378,425,58,5.746121298,394,1668,5075,4309,1948.637752,1530,4602,3578,1342,394,462,2640,3321,454,312977.2464,3481,108,988,1702,658,25,1182.062147,9712,624,809,9206,9026,1315,12527,Health Care,Education,Retail Trade,Professional,Manufacturing,1539,1256,1244,1101,983,6209,Health Care,Real Estate,Manufacturing,Retail Trade,Administration,843,751,732,566,545,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,5913,2314,709,495,323,Outside of Chicago,Jefferson Park,Portage Park,Belmont Cragin,Dunning,3234,310,229,133,119,,,,13924.67335,,,,,,,,,,0,0,1,0,0.020650922,0.979349078,0.868193147,1489.168086,502.596048,0.337501221,177.1902086,0.118986037,10.00226926,0.006716683,57.47739465,0.038596983,26.33663681,0.01768547,53.74381817,0.036089827,525.4545343,0.352851058,0,0,133.5204051,0.089661071,2.846771189,0.001911652,3001,3379,1420,2721,6550,616,3971,892,31,16,845,2201,248,408,1545,1871,591,401,879,5326,3383,1388,555,20151,7043,25728,10651,4399,15077,4209,2895,31,864,490,94,888,1130,50,21101,2881,81,1237,559,,,,,,,,,,,,,,,,,,,,,,,,,0.975289982,0.997767145,0.478304845,0.84302704,0,0,0.091352619,1,1,0.357884116
