GEOID,GEOG,WHITE,HISP,BLACK,ASIAN,OTHER,total_pops
32,The Loop,0.5897729295395021,0.0956340427695985,0.07079105957738958,0.2107203702291047,0.033081597884405116,39327
3,Uptown,0.5316973071165458,0.1498831009368745,0.18084873765831833,0.10382991606815467,0.03374093822010664,59453
73,Washington Heights,0.01674090571640683,0.014587973273942094,0.9547884187082405,0.001744617668893838,0.012138084632516704,26940
40,Washington Park,0.018317828713915796,0.02234583293372974,0.9167545794571785,0,0.042581758895175986,10427
62,West Elsdon,0.14706041138044593,0.8170382767370297,0.006748366895211359,0.027695297737947416,0.0014576472493656534,18523
67,West Englewood,0.015024084410123099,0.095878889823381,0.8690649132196651,7.645844483523206e-4,0.019267528098478478,26158
26,West Garfield Park,0.027654800169810177,0.03481108617866457,0.9241312390078233,1.8193947480138275e-4,0.013220935168900478,16489
65,West Lawn,0.11874261550898577,0.8508177352154717,0.02490516758908028,0.00226975934332442,0.0032647223431378648,32162
53,West Pullman,0.008797764688113578,0.06853194381513367,0.9020540703821175,0,0.02061622111463525,26484
2,West Ridge,0.4205401013166081,0.19697065881187867,0.11637443977502127,0.21020022091591228,0.05591457918057972,78763
24,West Town,0.6318912325165508,0.21012115541764867,0.06236602437320132,0.05392185890071888,0.04169972879188034,84437
42,Woodlawn,0.0816816282997067,0.028975202204248512,0.8225935472402454,0.03404141854057417,0.032708203715225315,22502
